name,year,duration,genre,rate,is_mature,movie_url
The Cloverfield Paradox,2018,,"Action,Adventure,Horror",5.5,PG-13,https://www.imdb.com/title/tt2548396/?ref_=adv_li_tt
Masters of the Universe,1987,,"Action,Adventure,Fantasy",5.3,PG,https://www.imdb.com/title/tt0093507/?ref_=adv_li_tt
Avatar 3,2024,,"Action,Adventure,Fantasy",,,https://www.imdb.com/title/tt1757678/?ref_=adv_li_tt
Batwoman,2019–2022,"45,m","Action,Adventure,Crime",3.4,TV-14,https://www.imdb.com/title/tt8712204/?ref_=adv_li_tt
Chaos Walking,2021,,"Action,Adventure,Fantasy",5.7,PG-13,https://www.imdb.com/title/tt2076822/?ref_=adv_li_tt
The League of Extraordinary Gentlemen,2003,,"Action,Adventure,Fantasy",5.8,PG-13,https://www.imdb.com/title/tt0311429/?ref_=adv_li_tt
Brazil,1985,,"Drama,Sci-Fi",7.9,R,https://www.imdb.com/title/tt0088846/?ref_=adv_li_tt
Maze Runner: The Death Cure,2018,,"Action,Adventure,Sci-Fi",6.2,PG-13,https://www.imdb.com/title/tt4500922/?ref_=adv_li_tt
Firestarter,2022,,"Drama,Horror,Sci-Fi",4.6,R,https://www.imdb.com/title/tt1798632/?ref_=adv_li_tt
Evolution,2001,,"Comedy,Sci-Fi",6.1,PG-13,https://www.imdb.com/title/tt0251075/?ref_=adv_li_tt
Terminator 3: Rise of the Machines,2003,,"Action,Sci-Fi",6.3,R,https://www.imdb.com/title/tt0181852/?ref_=adv_li_tt
Ben 10,2005–2008,"30,m","Animation,Action,Adventure",7.4,TV-Y7-FV,https://www.imdb.com/title/tt0760437/?ref_=adv_li_tt
X2: X-Men United,2003,,"Action,Sci-Fi,Thriller",7.4,PG-13,https://www.imdb.com/title/tt0290334/?ref_=adv_li_tt
Future Man,2017–2020,"30,m","Action,Adventure,Comedy",7.7,TV-MA,https://www.imdb.com/title/tt4975856/?ref_=adv_li_tt
Steven Universe,2013–2020,"11,m","Animation,Action,Adventure",8.2,TV-PG,https://www.imdb.com/title/tt3061046/?ref_=adv_li_tt
Gattaca,1997,,"Drama,Sci-Fi,Thriller",7.8,PG-13,https://www.imdb.com/title/tt0119177/?ref_=adv_li_tt
The Mitchells vs the Machines,2021,,"Animation,Adventure,Comedy",7.6,PG,https://www.imdb.com/title/tt7979580/?ref_=adv_li_tt
